symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,vol_pre60,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
ETHUSDT,1,18:51:12,1673.115,buy,16.1,300,0.5294,0.0783,8.3,entropy_normalized,0.0045,0.0003,0.0039,0.0045,0.0224,0.0248,0.0111,0.0654,0.0445,0.0272,0.0206
BTCUSDT,1,18:52:22,63760.135,sell,14.0,300,0.7478,0.0376,2.4,entropy_normalized,0.0032,-0.0,0.0032,0.0032,0.0171,0.0032,0.0057,-0.0155,0.0175,-0.0093,-0.0297
BTCUSDT,2,19:34:05,63844.995,buy,11.5,300,0.6422,0.0378,9.7,entropy_normalized,0.0,0.0,0.0,-0.0,-0.0126,0.0047,-0.0125,-0.0111,0.0674,0.0381,0.0179
BTCUSDT,3,19:44:07,63887.995,buy,18.9,300,0.6577,0.0626,2.1,entropy_normalized,0.0,-0.0,-0.014,-0.014,-0.0263,-0.0386,-0.0188,-0.0037,-0.0305,-0.0494,0.0688
ETHUSDT,2,19:46:52,1676.365,sell,11.8,300,0.5294,0.0669,8.7,entropy_normalized,0.0003,0.0003,-0.0003,0.0003,0.0259,0.0331,0.0546,0.0862,0.1769,0.082,-0.0916
BTCUSDT,4,19:55:03,63833.675,sell,12.5,300,0.6422,0.0575,10.7,entropy_normalized,0.0066,-0.0,-0.0,0.0044,0.0278,0.0186,0.0074,-0.0193,-0.0367,-0.1548,-0.1902
ETHUSDT,3,20:15:05,1677.595,sell,15.1,300,0.6653,0.031,8.7,entropy_normalized,0.0027,0.0003,-0.0063,0.0027,-0.0092,-0.0593,-0.0176,-0.0283,-0.0164,-0.0325,0.02
ETHUSDT,4,20:16:03,1678.595,sell,15.3,300,0.5665,0.0703,4.0,entropy_normalized,0.0152,0.0003,0.0271,0.0104,0.0349,0.042,0.0521,0.0593,0.0617,0.0241,0.0831
BTCUSDT,5,20:19:37,63965.795,buy,11.8,300,0.7351,0.0194,15.6,entropy_normalized,0.0058,0.0058,0.0058,0.0058,0.0058,-0.0082,-0.019,-0.0354,0.0003,-0.0956,-0.0903
BTCUSDT,6,20:24:50,63945.505,sell,10.7,300,0.7285,0.0354,6.3,entropy_normalized,0.0,-0.0,-0.0205,-0.0217,-0.0039,-0.0125,-0.01,-0.0321,0.0524,0.0527,0.0412
